dataset,median_d2_test,coef,percentile,p_q_train_d2,tau,decision,frozen_decision
mit,8.79,1.25,90,46.77,58.46,open,open
mit,8.79,1.25,95,79.72,99.65,open,open
mit,8.79,1.25,99,100.78,125.97,open,open
mit,8.79,1.5,90,46.77,70.15,open,open
mit,8.79,1.5,95,79.72,119.58,open,open
mit,8.79,1.5,99,100.78,151.17,open,open
mit,8.79,2.0,90,46.77,93.54,open,open
mit,8.79,2.0,95,79.72,159.45,open,open
mit,8.79,2.0,99,100.78,201.55,open,open
xjtu_lpo,852.34,1.25,90,36.12,45.14,closed,closed
xjtu_lpo,852.34,1.25,95,47.24,59.05,closed,closed
xjtu_lpo,852.34,1.25,99,208.66,260.82,closed,closed
xjtu_lpo,852.34,1.5,90,36.12,54.17,closed,closed
xjtu_lpo,852.34,1.5,95,47.24,70.86,closed,closed
xjtu_lpo,852.34,1.5,99,208.66,312.99,closed,closed
xjtu_lpo,852.34,2.0,90,36.12,72.23,closed,closed
xjtu_lpo,852.34,2.0,95,47.24,94.49,closed,closed
xjtu_lpo,852.34,2.0,99,208.66,417.32,closed,closed
isu_ilcc_lpo,19.0,1.25,90,26.18,32.73,open,open
isu_ilcc_lpo,19.0,1.25,95,33.2,41.5,open,open
isu_ilcc_lpo,19.0,1.25,99,41.62,52.03,open,open
isu_ilcc_lpo,19.0,1.5,90,26.18,39.28,open,open
isu_ilcc_lpo,19.0,1.5,95,33.2,49.8,open,open
isu_ilcc_lpo,19.0,1.5,99,41.62,62.44,open,open
isu_ilcc_lpo,19.0,2.0,90,26.18,52.37,open,open
isu_ilcc_lpo,19.0,2.0,95,33.2,66.4,open,open
isu_ilcc_lpo,19.0,2.0,99,41.62,83.25,open,open
aging_matrix,3.81,1.25,90,8.13,10.16,open,open
aging_matrix,3.81,1.25,95,11.25,14.07,open,open
aging_matrix,3.81,1.25,99,11.41,14.26,open,open
aging_matrix,3.81,1.5,90,8.13,12.2,open,open
aging_matrix,3.81,1.5,95,11.25,16.88,open,open
aging_matrix,3.81,1.5,99,11.41,17.11,open,open
aging_matrix,3.81,2.0,90,8.13,16.26,open,open
aging_matrix,3.81,2.0,95,11.25,22.51,open,open
aging_matrix,3.81,2.0,99,11.41,22.82,open,open
dynamic_cycling,1.72,1.25,90,9.19,11.49,open,open
dynamic_cycling,1.72,1.25,95,15.06,18.83,open,open
dynamic_cycling,1.72,1.25,99,17.52,21.9,open,open
dynamic_cycling,1.72,1.5,90,9.19,13.79,open,open
dynamic_cycling,1.72,1.5,95,15.06,22.59,open,open
dynamic_cycling,1.72,1.5,99,17.52,26.28,open,open
dynamic_cycling,1.72,2.0,90,9.19,18.38,open,open
dynamic_cycling,1.72,2.0,95,15.06,30.12,open,open
dynamic_cycling,1.72,2.0,99,17.52,35.04,open,open
