dataset,comparison,n_seeds,n_cell_seed_pairs,replicates,rng_seed,observed_mean_of_seed_means,ci_low,ci_high,interpretation
aging_matrix,Ab-A0,4,20,20000,15189254995932388501,-0.0011536382766771922,-0.0019919217101163128,-0.0004827012643337059,descriptive hierarchical percentile interval
aging_matrix,Abc-A0,4,20,20000,6423890553245629549,-0.0011536382766771922,-0.001988559051925043,-0.0004783156606765813,descriptive hierarchical percentile interval
aging_matrix,Ac-A0,4,20,20000,11204257549858343124,0.0,0.0,0.0,descriptive hierarchical percentile interval
aging_matrix,Ag-A0,4,20,20000,10248335492611883759,-0.0011536382766771922,-0.0019813358602707486,-0.0004890531392874565,descriptive hierarchical percentile interval
aging_matrix,Ag-Abc,4,20,20000,4984925157998074209,0.0,0.0,0.0,descriptive hierarchical percentile interval
dynamic_cycling,Ab-A0,4,76,20000,13449808116160229663,-2.4356515085780874e-05,-0.0001584785889608419,0.00013393477291621746,descriptive hierarchical percentile interval
dynamic_cycling,Abc-A0,4,76,20000,12679741096024245004,-2.8726938448366376e-05,-0.0002836694208220019,0.0002234505676029733,descriptive hierarchical percentile interval
dynamic_cycling,Ac-A0,4,76,20000,11091319829966419099,1.5518760892922358e-05,-0.0002239671961833449,0.00028605127930887817,descriptive hierarchical percentile interval
dynamic_cycling,Ag-A0,4,76,20000,14535824575500080814,-2.8726938448366376e-05,-0.0002861132422978717,0.00022349347720172392,descriptive hierarchical percentile interval
dynamic_cycling,Ag-Abc,4,76,20000,12432993870500904483,0.0,0.0,0.0,descriptive hierarchical percentile interval
isu_ilcc_lpo,Ab-A0,4,188,20000,3442054749125452517,0.003082277714065789,0.0022035698924044752,0.004046061133015848,descriptive hierarchical percentile interval
isu_ilcc_lpo,Abc-A0,4,188,20000,12649310464399314648,0.005863051920963668,-0.007536487278122887,0.018985735408251884,descriptive hierarchical percentile interval
isu_ilcc_lpo,Ac-A0,4,188,20000,3791398425927562679,0.0063101364643360835,-0.007239501262101539,0.01950222936806571,descriptive hierarchical percentile interval
isu_ilcc_lpo,Ag-A0,4,188,20000,15953920594711363762,0.005863051920963668,-0.007548842492139336,0.019035612384180056,descriptive hierarchical percentile interval
isu_ilcc_lpo,Ag-Abc,4,188,20000,12378768675934984048,0.0,0.0,0.0,descriptive hierarchical percentile interval
mit,Ab-A0,4,56,20000,4470638740780922055,-0.0009942385346923149,-0.0018741069759291077,-8.376262432813704e-05,descriptive hierarchical percentile interval
mit,Abc-A0,4,56,20000,14678746987546698719,-0.018308777917946082,-0.021411751359620677,-0.015108294290275664,descriptive hierarchical percentile interval
mit,Ac-A0,4,56,20000,5023046140395098783,-0.0148517885864319,-0.017785685751239864,-0.011982645631552961,descriptive hierarchical percentile interval
mit,Ag-A0,4,56,20000,8017771758038960601,-0.018308777917946082,-0.021449015077574858,-0.015047261554270216,descriptive hierarchical percentile interval
mit,Ag-Abc,4,56,20000,9630101986617747465,0.0,0.0,0.0,descriptive hierarchical percentile interval
xjtu_lpo,Ab-A0,4,92,20000,10232048973913042467,0.0003777978965872712,9.302101765835872e-05,0.0006781410539757428,descriptive hierarchical percentile interval
xjtu_lpo,Abc-A0,4,92,20000,724571869417721654,0.012830084217923985,0.000568469132995435,0.03392058555385416,descriptive hierarchical percentile interval
xjtu_lpo,Ac-A0,4,92,20000,15949397808973346800,0.012672846547514292,0.0004007051993482905,0.03364593856331359,descriptive hierarchical percentile interval
xjtu_lpo,Ag-A0,4,92,20000,9583822293567588823,0.0,0.0,0.0,descriptive hierarchical percentile interval
xjtu_lpo,Ag-Abc,4,92,20000,12976200374532437385,-0.012830084217923985,-0.0339208800204408,-0.0006012071947972122,descriptive hierarchical percentile interval
